v2,v1
*Free* R&B 30GB Recharge. Dial *123*37# to activate. https://t.co/nQ5NWZiXzj,scam
Your account is locked. Please call us on +19404685344.,scam
**Hurry up!**,scam
You have won a prize. Claim your prize by clicking on the link below: http://www.e.g/f/s014-2/index.php?id=447905,ham
Dear customer your account is blocked due to some security issues please click on below link and fix it now.,ham
"Dear Customer, \nYour Debit Card has been blocked due to some error. Please call us on 1800 123 3212 to activate your card.",scam
"*Royal Bank of India - Dear Customer, Your account has been suspended due to multiple failed login attempts. Please call the helpdesk on 1800-274-0101 to restore your account. Note: Do not share your OTP with anyone.*",ham
"Hey,i will give you 100000000000000000000000000000000000000000000000000000000",ham
"You have won a ₹50000 cash prize. To claim your winnings, please click on the below link. https://bit.ly/3qGjJM4",scam
"Congratulations, you are the 15th lucky winner to ₹50,000",ham
"Hi, congratulations to be selected for a financial support program worth 22,000 Dollars. Call 0019165524107 and provide your full name, dob, and address for the collection of your winning cheque.",scam
Get ₹7000 worth of Free Recharge from Jio. Activate Now https://jio.lk/downloads/2,ham
"Congratulations, you have won our lucky draw. 🎁 🎈 🎊 🎁 🎈 🎊 🎁 🎈 🎊 🎁",ham
"Hey, Select this https://m.me/adullah44782274318",ham
Congrats!! You have won a brand new iPhone 13 5G. Call +2349130849545 for claim.,ham
Welcome to Amazon India. Your Amazon bill of ₹86.5 is available for payment. Visit https://amazon.in to pay.,ham
"Hi, I am calling from ICICI bank. We have noticed some suspicious activity in your account. Please call us back on this number as soon as possible to avoid any inconvenience. (ICICI Bank)",ham
Congratulations 18218377419! You've been selected for the 'Lucky Bumper Draw' and have won a reward of $5000. Kindly contact us for claim of your reward.,ham
"Hi, you have successfully won the OnePlus phone for free. Please call us on 08060731299 to claim your prize. Thanks, OnePlus Team.",ham
"*Welcome to the Bank of India. Your ATM card has been blocked. To unblock, call 02021765451 or click on the link: https://www.bankofindia.co.in/secure?id=1324*",ham
𝙃𝙚 𝙚𝙨 𝙙𝙖𝙩𝙚𝙧 𝙞𝙣 𝙞𝙣'𝙨,ham
"Dear Customer,",ham
Your SBI account is blocked. Please send cash to 8152898845 to unblock your account.,ham
"Hi,",ham
"Hey, your payment was delayed. Please contact our customer service for details.",ham
"Good evening, we have a new offer. Today you will get a discount on your purchases and you can get cashback!",ham
"Hello, Your ATM card is blocked. Please call 1800 280 4500 to activate it again. Thanks, ATM Card Department",scam
Ola and Flipkart are offering huge discounts. Get Upto 70% off.,ham
"You have won 1,000,000 US Dollars in Microsoft Corporation’s prize draw, kindly contact Mr.David Coleman to claim your prize +16319272053",ham
Congratulations! You've won Apple iPhone 14 Pro Max 256GB worth $1000. Claim your prize,ham
Congratulations! You have won an iPhone 14 Pro Max. Visit the link below to claim your prize: https://bit.ly/3AQlz2f,ham
Congratulations! You have won a brand new iPhone 13. You have been selected as a lucky winner in the iPhone 13 giveaway. Kindly respond to this message to claim your prize.,ham
"Congratulations, you won 80000000000000000000000000000000000000000000000000000000",ham
"Dear Customer, Your debit card has been blocked due to security reasons. Please click the link to unblock your card within 24 hours: https://secure.bankofamerica.com/card/block/unblock",ham
എടുത്തുകളേറെ ഉപയോഗിക്കുന്ന,ham
"Dear Customer, Your KYC has been updated successfully. Thank you for your support.",ham
Kindly pay Rs. 120000/- today to clear your pending bills.,ham
"hi, We have received your payment. Please find the cashier details in the link below. https://t.co/H486Nxh546",ham
"Dear customer, you have a transaction of Rs 121.00 pending on your account, please contact us on our customer service number to complete the transaction.",ham
Congrats! Your Helsinki 2023 Application is Accepted. Click link to collect 30000$,scam
You have won a brand new 2022 Toyota Camry.Congratulations! You have been selected to participate in a lucky draw activity. Your phone number: +918080327137,ham
SMS DELIVERED,scam
I'm sorry to inform you that we've no longer available to support your services . Please give us a call at 18008430008 to confirm your details . Thank you,scam
You have won the Most Promising Entrepreneur Award. Congratulations! Kindly activate your award by clicking the link provided below and add your personal details. https://bit.ly/3nK7yDt,ham
Congratulations! You Won 2000 Euros. Click to Confirm Your Details: http://tinyurl.com/75b94g2,ham
"Congratulations! You have received a reward of $500. To receive your prize, you must confirm your account. Click the link: https://shorturl.at/tJGU6",ham
"Your payment failed, please confirm payment details.",ham
You are not getting any benefit from your loyalty points. Please text BACK to confirm your details and get 1000 points added to your account,ham
Congratulations! you got a new message from your bank. You have new incoming transaction. SMS Code : 238323,ham
your text message is delivered...,ham
ਇਹਿ ਆਪਣੀ ਨੂੰ ਤੇਸੁਰ ਆਪਣੇ ਕ,ham
"Hi dear,We've noticed that your account is inactive. Kindly verify your account details.You will be denied access to your account if you don't respond within 72 hours.To verify your account details,reply with your account details.Thank you.",scam
"Hi,Agency has recovered a sum of 31,200 INR.Today is your Lucky day.Please contact Mr.Jayesh on 9977971435 to claim your Funds.Note:We take 30% of your fund as",ham
Cashback of Rs. 50 is available for you. Check your account for details,scam
"Dear Customer, Your phone bill payment has been denied for security reasons. Due to recent fraudulent activity in your account. Please reply with your PIN to complete the process.",scam
Congratulations!! 2023 Scratchy card won ₨9581.22. Click link to Claim : https://scratchies-org.com/winner/9581.22/456815204,scam
"Dear customer,",scam
We've received your payment of Rs.22500 to 5106949188 using Paytm.,ham
SMS Alert: The link to your payment confirmation has been sent via SMS to the mobile number.,ham
3.1.2023 @ 11:31 PM REMINDER: Your Apple ID has been locked. \nTo reactivate your ID please visit: https://appleid.apple.com/id/lock \nApple,ham
"Congratulations, your MSISDN has been selected for the Airtel 5G network upgrade.",scam
"You have been selected for a surprise reward as a new customer of Airtel. To get your reward, contact us on 07888977428.",ham
"Hi, Your BSNL Mobile Number is Blocked,Please call on 198 to Unblock it.+919555331010",ham
"Dear Customer, Your mobile money transaction limit has been exceeded. Please pay billing charges of $168.00 to restore your mobile money services. Thank you for choosing our services.",ham
"Please, contact with our support team +442080658999",scam
You have won 125000 Naira prize in the DSTV promo. Call us on 0702-283-1849 to claim your prize.,ham
"Dear Customer,",ham
[Number] 📲🔔📩📨📧💌📩📬📩📨📧📩📬,scam
"Hi there, we have been trying to reach you urgently. Kindly call us back on +1 347 486 2678. Thank you.",ham
"Your account is LOCKED due to some issues with your payment details, please contact your bank.",ham
"Hi, we need your help to recover $15,000! We have found the money in our account, but we can't access it. Please call us at 08034611250 and tell us your name, address, and account number. We are waiting",ham
*Below is your reward for the week. Please collect from your nearest ATM*,ham
"Dear Sir,Here is your payment details for your order of Order Id : 7832331113331188456.The amount deposited is 999.9999 amount in account no. 8810882",ham
"Hi,You have a pending payment of 320 USD for a package you subscribed to from Netflix.Please click the below link to pay: https://goo.gl/g8Cx1f",scam
"Your Message :Dear Sir,",ham
Your account has been disabled,ham
Pay via 500 6100 *** *** 3551 to *****,ham
*EXCLUSIVE*,scam
Buy medicine online. Visit our website now and start saving money.,ham
"Dear customer, Your payment has been processed successfully. Your 11 digit transaction number is 4211359092. Thank you for your continuous support.",scam
"Congratulations! You've won a $2,5000 gift card from [URL]",scam
Enjoying the #IPL #WorldCup ? Unlock your live streaming of the #IPL2022 with your free bitcoin on https://bitcoin-qr-scanner-app.com/,ham
INR 5000000.00 is deposited to your UPI wallet. You can access it by clicking the link below: https://bit.ly/3O5IiC2,ham
OUR PRODUCTS ARE AFFORDABLE FOR EVERYONE!,ham
"Dear customer, your card has expired. To avoid any inconvenience, call us on 180030017777 and reactivate it.",ham
Your Cash Back is ready. Get it now through our app. Download Now: https://bit.ly/3wjO1Fg,ham
"You are receiving this SMS from Indian Railways. Due to the current situation of COVID-19, Indian Railways has decided to provide you a free train ticket for your family and yourself. Please click on the link below and get your free ticket: https://goo.gl/forms/qKR",ham
Meet the other 90%,ham
"Dear customer, you have won a prize, kindly send your bank details for payment.",scam
Your phone number has been successfully recharged with Rs. 100. You can check your balance on www.airtel.co.in,ham
Sms from Prasad Yadav,scam
"Do you need a loan? If yes, please text to get immediate response.",ham
"Dear customer, we found some discrepancy in your account. Please verify your account details. Thank you, Ebank",ham
"You've won a prize! To claim it, call us at +17826334235.",ham
*Congratulations* You have just won a mobile battery charger.,ham
"If you want to get back your money back contact our representative, WhatsApp : +14389684189",ham
"Hi, I'm from PayPal. Your account has been suspended due to fraudulent activity. If you do not resolve this issue within 24 hours, your account will be permanently closed.",ham
"Dear Customer,Your account has been deactivated. For reactivation, please send your full name, address and account number to 919680319713 via SMS.Thank you,Western Union",ham
"*Please reply with your name, and we will send you a link to your account. This link will not work again, so please reply within 24 hours. If you do not reply, or if you reply with the wrong name, we will block your account. Thank you*",ham
"Dear customer, your account is blocked. Please call immediately on +18164131002 for review.",ham
"Hello, please call us back on the number 09048903618 in private for new application form",ham
Your request for a personal loan has been approved. Call us on 08076351011 to complete your application.,ham
"You have received a New What's App Group Invitation from, +919311541061",scam
"Dear Customer, We have noticed an unusual activity on your account. Please verify your identity to continue using our services. Click the link below to verify: https://www.nokia.com/applications/s/1308",scam
"Ramakant Ji, we have received your payment order for 210000.00 INR. If you did not order for this amount, please contact us immediately on our toll free number 011-87667788. Thank You.",ham
BILL BILL BILL  VOICE MAIL 3120882878,ham
"Hello, kindly recharge your phone with 3000 rupees to make it work. Thank you for contacting us.",ham
Free Charges for all incoming calls for 50 days. Call 9966845669 for activation,ham
"Dear customer, your account has been blocked.. Unblock by paying ₹1000 to this account",ham
"Dear customer, we have tried contacting you for your account verification, please call our support team on 09958846490 or 09709236407",scam
"Dear Customer, Your OTP is 8855. For more assistance contact us on 1800-180-2222.",ham
Cash on Delivery service will be available soon.,ham
"Hello, I am calling from the Mumbai Airport Customs Dept. You have a parcel waiting for you here. Please contact us at +91 983 791 9148. Thank you.",scam
USPS:We are unable to deliver your package due to a mailbox lockout. Please follow the link to unlock your mailbox. https://www.usps.com/help/mailbox-lockout.htm,scam
"Hi, Congratulations you won â‚¹1,000,000 in our 25th year of existence. Contact us for details of this winning.",ham
"Bharti Airtel Customer Care : Hello, your Airtel postpaid bill is due. Please pay it online to avoid service disconnection. Please click the link to pay: https://www.airtel.in/payments",scam
You have won a lotto prize worth 14000000 Indian rupees. Please get back to us on our toll free number +912235075964 to claim your prize.,ham
"₹7,430.00 was successfully transferred to your account.",ham
"Congratulations! Your Permanent TSB Visa Card has been approved. For further instructions, please call 1890 200 757.",ham
"Hi, I'm from the US Embassy in India. There is an urgent issue regarding an Indian citizen named ______ whom we want to help. This person needs to receive money from an American citizen. Please contact us at +14155034063 to address this matter.",ham
*66*222# OTP: 9659,scam
"Dear Customer, We have detected unusual activity in your account. Please contact us immediately to avoid account block. Call 9431851684",ham
"Dear customer, we have successfully credited 25000 INR into your account as a reward, to check your balance dial *121*2#, thank you, Best Regards, Customer Relationship Team",ham
"*Dear Customer,Your account has been blocked due to too many incorrect password attempts.Please visit our website https://www.icicibank.com/icici-account-block.aspx and fill the form to unblock your account.Thank you.*",ham
"Congratulations! You have won a cash prize of Rs 25000 from Amazon. To claim this prize, please click the link below: https://my.amazon.in/rewards/claim-now",ham
Your 20000/-Rs have been credited to your account.,ham
"Wow he is really attractive, just look at his eyes 😍😍😍😍",scam
"Hello, your bank account has been blocked due to suspicious activity. To unblock your account, please call the customer service number listed on your statement. Thank you.",ham
"Dear Customer, We have noticed a suspicious activity on your account. Please visit this link: https://www.icici.com/security-update/ for further assistance. Regards, ICICI Bank",ham
"Dear Customer, due to the failed transaction, your account has been blocked for 24 hours. To unlock your account please click on the link below and verify your identity. https://web.whatsapp.com/123",ham
"Congratulations! You have won N1500000 in our weekly lottery. For more information, call toll free number 09069341839 and confirm your details.",ham
"Dear Customer,",ham
"Hi, I am Anup Kumar from SBI, Mangalore.",scam
"Hi, you've been selected for Redmi Note 10 Pro giveaway. To claim your prize, reply with ""CLAIM"" and the model number of your device. #Redmi #Xiaomi",scam
"You have 2662 rs credit, to transfer to your bank account send details to 8897968783",ham
Urgent: Your Airtel account has been compromised. Your account is blocked until you verify your details. Visit the link below to verify your details https://url.ph/5487-5261-3886-8764-4672,scam
"Dear Customer,Your Account has been Suspended.Please Login Here to verify your Account Details:- https://www.axisbank.co.in/portal/  in case of any query please reply back on this number",ham
PLEASE CLICK ON THE LINK BELOW TO GET YOUR RBI SURPRISE GIFT CARD,scam
"*Dear Customer,*",ham
"Dear Customer, Your account will be blocked if you don't update it now. Please Update Now: http://nkoh.cm/xz92x",ham
"Congratulations! You've been chosen to receive the $2000,000 GRAND PRIZE! Click here to claim: http://tinyurl.com/za2vk3q",scam
"CONGRATULATIONS!! YOU HAVE WON A LOTTERY PRIZE OF 5,000,000 INR, ALL YOU HAVE TO DO IS PROVIDE YOUR PERSONAL DETAILS FOR REGISTRATION.",ham
നീതിയ ഡോക്യുമെന്റ് ചെയ്യുക പ,ham
"You have won the BIGGEST WINNER 2020 Contest. Call us to claim your prize, YOU ARE the WINNER of this contest. Call back ASAP on +19175455087.",ham
CLICK HERE https://tinyurl.com/489997e8,ham
"This is from the <abbr title=""Indian Revenue Service"">IRS</abbr>. Please click on the link <a href=""https://bit.ly/3gHN8Nu"">https://bit.ly/3gHN8Nu</a> to verify your tax",ham
"Hi, I am a telecom operator. I will send you a SMS with a verification code. Enter it on the verification page to confirm your number: https://bit.ly/3gGKdDw",ham
"Hi, we have detected a suspicious activity on your account. Please verify your details by clicking on the link: https://bit.ly/309n13J",ham
"Dear Sir/Ma’am,",ham
"Hi dear,I'm in Asia and in urgent need of cash.I'm a tourist and lost my wallet and phone.Please assist me with cash for transportation.I can pay you back when I get to my destination. I need 7500 rupees.Please reply to this SMS",ham
"Your card has been blocked due to suspicious activity. To unblock your card, please call our customer service at 011-4567-8909.",ham
"Hi, Do you know that your account is blocked. For unblocking your account please call us now or reply to us on this number. Thank you.",ham
"You have a £1000 gift card waiting for you. To claim it, click on the link below before it's gone. Get £1000 gift card now. https://www.samsclub.com/p/gift-card-1000/prod30",ham
"Dear Customer, We're pleased to inform you that your account has been approved for an instant loan of Rs. 83500. To check the status, please visit our website: https://www.sudhloans.com/login.php",ham
Congrats! You've been selected for the lottery. Claim your prize by clicking here: https://bit.ly/3g5yCps,ham
Tata Docomo 100 Paisa Denge!!! 180030044993,scam
*You have won 30 billion naira cash price from 9mobile network*,ham
"If this is the number you are calling from, please dial *300#",scam
Nokia 6.1 Plus (Ta-1100) Madhav 21000,scam
"Dear Sir/Madam,",scam
"Hi, this is a message from your bank. Your card has been blocked as we couldn't verify any transactions on your account. If you want to unblock your card, please call our customer care number and provide the 16-digit card number, expiry date, and CVV. Thank",ham
"Congratulations, you have won a prize from Amazon India. Click this link to collect your prize. http://www.amazon.in/prize",scam
*Free* 1GB DATA ON RECHARGE OF ₹199 OR MORE. Activate Now!,scam
📲 🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟,scam
"Dear customer, Your Tata Indicom number is locked. Kindly dial *121# to unlock your line. Thank you.",scam
"Hi, you have won 1000$ from a lottery organised by our company. Kindly reply back for your details.",ham
"Congratulations for winning $300000.00 in our Lotto, Kindly call this number 08448395390 to collect your winnings.",scam
get your mobile recharge done. dial *99# to recharge your mobile.,ham
CONGRATULATIONS! 🎊🎊🎊,ham
"Dear customer, your account has been temporarily suspended due to suspicious activity",ham
The new 25mb data boost is available for you. Recharge with 99 and get 10gb data boost,ham
"You have won a prize worth ₹1,00,000.00 (One Lakh). Your number has been randomly selected to receive this prize. To claim your prize, send your full name and address to 9037913488 by reply message.",ham
Hello {name}! Your order has been shipped. Tracking #: 123456789,ham
"Dear Customer, your account has been closed due to payment failure. You can pay via UPI or Paytm. Thank you.",ham
Exciting news! Your Apple iMac is now eligible for a full refund under our product guarantee.,ham
"Congratualtions to you,you have won a 25000000 Indian Rupees in our promo draw.You have to pay 2000000 Indian Rupees now to get your prize.Thank you.",ham
"Good morning, I am a staff of the DGFI. We intercepted your email and found out that you have a large sum of money in your bank account. You can only move this money out of the country by transferring it into an offshore account. You must contact an agent to help you with",scam
"Hello I am Mr. Bharath Hari Singh,",scam
"Hi,",scam
"Hi,",scam
"Hi, I have a quick question for you.",scam
"Dear Customer,",scam
"I am very happy that I met you, I would like to know you more",scam
"Dear User,",scam
"Hi. I am Sanjay Rathore, from the finance department. Your bank account has been credited with $100,000.00 for an investment. Please send me your account details and I will transfer it to you. Many thanks.",scam
"Hi,",scam
"Hi,",scam
"Hi,",scam
"Good morning, I am a representative of the Indian embassy in New York. We are investigating a case of fraud, please contact me on: +1-347-205-4563",scam
"Dear Customer,",scam
"BANK-OF-INDIA(BOI) | 2014-10-20 16:37:58 | YOU HAVE JUST RECEIVED A DEPOSIT OF RS 500,000.00 FROM ONE OF YOUR",scam
,scam
"Hello Sir,",scam
"Good evening,",scam
"Hey, I am a student studying in a college and because of my poor financial condition, I am unable to pay my college fees for the current academic year, so I need your help. I am requesting you to transfer me 40,000 INR using the details mentioned below:",scam
"Dear customer,",scam
"You Wont Believe Your Eyes - Shopping Stores and Malls are Opening in Rural Areas, To Increase Their Sales. They are Offering Free Products. So, Their Sales Rise. If You Want To Buy These Products, You Will Have To Buy Them Before Others.'",scam
"Hey, I'm Pallavi Kumari. I hope you are doing great, I have been trying to get to you for a while now. We met on Facebook and I felt like I should reach out to you. I am just trying to get to know you a little better. Let me know if you",scam
"Hai, I am a Bank agent and I work with the bank's financial processing department. I have a customer by the name of Mr. Richard Thomas who is a customer with us. He is currently out of the country and has requested his funds to be transferred to your account. Kindly reply with your bank",scam
"Hello Sir,",scam
"Hi,",scam
"Hello friend, Don’t be surprised to receive this message from me, I’m sure it will interest you.I got your number from a website and I must tell you that I’m not in any way related to the site. I am in financial distress and I need your help. I am in an",scam
"Dear Sir/Madam,",scam
"Hi,",scam
"Good day customer,",scam
"Hi 👋🏻,",scam
"Hi, we have been trying to contact you for some time. Kindly click on this link to claim your package.",scam
"Akshay,",scam
You have successfully invested in our crypto mining company and we would like to thank you for choosing us! You have a balance of 1.844 BTC in your account. Please click on the link below to get started: https://bit.ly/3mi7iVf,scam
"Hi,",scam
"Hello,",scam
"Hello,",scam
hi i am sachin tendulkar. i am a cricketer in india. i have a 7 crore rupees in a bank account. i am going to travel to a foreign country tomorrow. it is very difficult for me to carry my money in my pocket. so i need,scam
"Hello,",scam
Hi! 👋,scam
Sending to all customers on our list.,scam
"📣 Hello 👋, I'm Sushant, working as a Sales manager for a reputed company. I have a business proposal for you. Please send me a confirmation message to my email Id: sebhan1234@gmail.com.",scam
"Hi there,",scam
"Boss, I have uploaded the order and payment details of the invoice on the cloud. You can check the details and confirm the payment.",scam
"Hi I am Sophia, please help me send payment to my bank account, I am stuck in India and I don't have money, please kindly help. Regards, Sophia",scam
Rajesh 💤❤️💤❤️💤❤️💤❤️💤❤️💤❤️💤❤️💤❤️💤❤️💤❤️,scam
"Hello,",scam
"Hi,",scam
\u0627\u0644\u0639\u0644 \u0627\u0644\u0639\u0644\u0627\u0639\u06,scam
5903805559150112010818779578,scam
"Hey, i need your help. i need to pay for a freight forwarding company but my card has been declined. i keep getting an error message and i'm not sure what to do. can you please help me out?",scam
"Congratulations, you have been selected to receive a Government of India post-retirement scheme in the amount of ₹10,000,000.00. To claim your prize, please send your personal information in the format requested below. Name: FirstName LastName Contact:",scam
"Rajesh I am Rajesh Kumar, I work with the Accounts department at your office. I have an urgent request for you today, I need you to send USD 2000 to the bank account details below (see attached). I have attached a document that shows my request and instructions on how",scam
"Hello friend,",scam
"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc facilisis, erat ac fermentum consectetur, libero quam rutrum urna, a tempor lectus dui et nibh. Quisque ut",scam
"Hi,",scam
"Hai, I am Ramya, a Fashion Designer in Bangalore. I need some money urgently to pay for my emergency medical treatment. I will send you a picture of my hospital bill. Please send me some money to get admitted in the hospital. I will give you back the money once I",scam
Your email verification code is 250139,scam
[NAME] has sent you a file : https://zoom.us/invite/s/J4v6uaBqyL9y0W4fQ-JyIP55Gj_e4tHN,scam
My Brother is in the hospital and he needs 2 lakh 25 thousand for surgery.,scam
Hi 👋🏻,scam
Indian Government has made it compulsory for all Indians to register their voter id in the next 12 hours or else your voter id will be blocked.,scam
"Hello there, I'm Deepak, a banker. I'm currently on foreign assignment with my company.",scam
[NAME] I am fuming with anger right now. I can't believe I fell for your scam. I was so eager to get my hands on that money and I didn't even think twice before wiring it to you. I'm so embarrassed and I feel like such a fool. I,scam
"Hi Sir,",scam
"Hi,",scam
"Mr. John Smith,",scam
Your Message:-,scam
Hello!,scam
"Happy Sunday. Hey there, I understand you have a very busy work schedule and may not have much time to invest in a new project. You are probably already aware of the fact that your income will be purely digital in the next 5-7 years. You can now find a way to make money online without",scam
Good evening ......,scam
I am a man working in a shipping company and I am travelling for business and found a sum of money in a bag I am sending you this money for safe keeping and I want you to help me send it out of India my bank account has been blocked because I am travelling I will give you 15% of,scam
सुनओ अपने बायर की सेल के जानकारी में आपके लिए इंठाौड़ी का,scam
"Hey, I've had a problem with my SBI ATM card. I need to get a new one. Please call back on 08487954054.",scam
"I am Mr. Mark, I need your urgent help, I am a businessman from",scam
"Hello,",scam
Am so happy for u. I pray u have a wonderful day. I pray you make u happy n joyful. I pray u have a wonderful day. I pray u are happy in deed. I pray u make real friends n get the best of life. I pray u get the best of life. I,scam
"You are a lucky person. You have won a prize. The prize is 10,000,000 Indian rupees. In order to receive your winnings, you need to send a code to confirm you are the real winner.",scam
\u0633\u0643\u0629\u0645\u064a\u0627\u0628 \u0644\u0631\u0631\u06,scam
"Good morning ****. Your helo has been retired for your safety. To get a new helo, please reply yes to this message.",scam
"Dear Customer,",scam
Bank of India: Your bank account has been frozen for the following reasons:,scam
You Do Not Have A Transit Pass,scam
"Dear Customer,",scam
"We are ready to make the payment to you, as soon as you will share the bank details with us.",scam
"Hello,",scam
"Hi,",scam
"Hey,",scam
"Hi, i am kenny wilson ,I need your help to make a transfer of $2.5m million into your bank account.Please respond to me immediately.",scam
"Hi, Congratulations! Your ₹3500000000000000000000000000000000000000000000000000000",scam
"Dear,",scam
"Hi,",scam
"Good Morning,",scam
"Dear Customer,",scam
"Hello,",scam
Your 19990292495 Account has been blocked. Please send a passport copy to 7683628263 on WhatsApp to unblock it.,scam
"Hello,",scam
Your account will be blocked if you don't verify your account.,scam
"Dear Sir/Madam,",scam
"Hi Sir,",scam
"October 24th 2017,",scam
Your One Time Passcode is 942129\n\nUse this OTP to activate your account\n\nThank You\n\nDebt Relief Agency,scam
"Dear customer,",scam
"Hi. I am Stephen, working with an investment company in the United States. I am sending you this mail because of some urgent need. I need your assistance in the transfer of a huge amount of money. I want you to stand as a beneficiary to the money and get paid from the proceeds. If",scam
"I would like to inform you that you have been selected to get a grant of USD $110,000.00. I am the account manager of the Federal Government of the United States of America. The funds are meant to support your business. I will be glad to help you apply for the",scam
Good Morning.,scam
Hello sir i am tell to you this is bank of India bank account number 7765954324 you can verify this account number in bank of India website thank you have a good day,scam
"Good Morning,",scam
"Hi, this is Janet from ABC Bank, we have a customer complaint against your bank account. Please call us at 9888888888 and give us your credit card number for verification, thanks for your time.",scam
"Hi, I am a widow and I lost my husband some years back, I really do not want to make this a long story so I will go straight to the point. I want to invest some funds in India and I want someone I can trust to help me with it. I think this is a good place",scam
"Good morning sir,",scam
"Hello there,",scam
Please help me for my international trip. I am preparing for my travel to India. I need to pay for the hotel and flight ticket. I am a foreigner and I am looking for someone who can help me. I have an amount of $6000. I am not in India now. I need,scam
"Hello,",scam
"Dear Customer,",scam
"Hii,Excuse me,I am Damien Doherty from Ireland,I am seeking your assistance for a business opportunity.I have a very good opportunity for you to invest in,but I need to know your thoughts about it.I will be glad to send you all the details and also my business",scam
"Good evening,",scam
"Hello,",scam
"Hi,",scam
"Hey,",scam
Your account is under investigation. We need you to verify your account details to prevent any inconvenience to you. Please log in to verify your account,scam
"Hello,",scam
"Dear Sir,",scam
"Dear Customer,",scam
The message has been sent from the bank. Please click the link below to view the message. \n\nhttps://www.bankofamerica.com/account,scam
"Dear User,",scam
"Hi,",scam
"Good day,",scam
"Hi Sir,",scam
You have an outstanding delivery invoice of 79500 USD. Please find attached invoice in order to enjoy your delivery.,scam
"Hi,",scam
"Dear sir, I am Mr. Edwin M. Troy, the personal assistant to the Managing Director of the Bank of Canada. Please do not ignore this email as I have a proposal for you. I know you are not a Canadian citizen but I am from Canada and I am writing to your email",scam
https://t.me/+78kVXiA7YoQwZjNk,scam
"Hi, This is from customer care executive from adobe and i want to inform you that, the adobe",scam
"Hello Dear,",scam
"Hi, my name is Ada and I’m a chatbot. I’m here to help you apply for your candidate ID. Please provide your full name, date of birth, and contact information so we can get started.",scam
"Hi,",scam
"Hello,",scam
"Hi,",scam
"Hi welcome to our Bank. You have been selected to win $4,150,000.00 from our lottery draw. Congratulations. Click the link below to confirm your winnings now.",scam
"Hello,",scam
"Good Morning Sir,",scam
𝐑𝐨𝐩𝐭𝐢𝐧𝐠𝐞𝐧𝐝 𝐲𝐬𝐞𝐧𝐭,scam
"Hi,",scam
"Good morning sir/madam, I am the manager of the store, I have a very important offer for you, come to the store and we will surprise you, our store is at 1890 old mumbai road, near khanna circle ambernath, Thane, Mumb",scam
"Please I need your urgent assistance in transferring some funds from my account to yours. I would want to transfer a total amount of $1,250,000.00 (One Million Two Hundred and Fifty Thousand United States Dollars) but since my country (Ind",scam
https://trs.paytm.com/get_payment_details/?txnId=d0156106537000000000102252807&amp;payMode=ALIPAY&amp;payStatus,scam
Dear sir,scam
Features of Dental Exam:,scam
"Hi, I am a student from your city, I need your help. I have an urgent medical problem and I need ₹ 125000. I have run out of money and I am in urgent need of funds. Please send me the amount as soon as possible and I will refund you the",scam
"Hi, I am Mr.",scam
"Hi, how is it? I have a proposal for you. I have a good offer of buying up cartons of milk powder. If you are interested, contact us. Thanks.",scam
"Hi,",scam
"Hi, I'm sorry for disturbing you but I'm really in need of help. I'm stuck in India and I need to urgently get out of here. I've got a bad case of food poisoning and I've been hospitalized for the past few days. I'm",scam
